timestamp,raw_x,raw_y,kal_x,kal_y,odom_x,odom_y
1765042740,0.174,2.184,0.144,1.988,0.483,2.479
1765042740,0.28,2.278,0.156,2.144,0.465,2.592
1765042741,-0.274,1.784,0.027,2.139,0.455,2.632
1765042741,0.373,2.206,0.086,2.229,0.445,2.699
1765042741,0.153,2.003,0.084,2.244,0.435,2.769
1765042742,-0.063,1.896,0.03,2.218,0.425,2.819
1765042742,0.392,2.323,0.103,2.296,0.413,2.868
1765042742,-0.021,2.333,0.062,2.358,0.41,2.89
1765042743,-0.263,2.232,-0.033,2.377,0.407,2.934
1765042743,-0.213,2.263,-0.1,2.393,0.398,2.981
1765042743,-0.554,2.027,-0.242,2.34,0.397,3.017
1765042744,-0.267,2.221,-0.285,2.338,0.392,3.058
1765042744,0.272,2.488,-0.179,2.401,0.385,3.092
1765042745,0.257,2.524,-0.086,2.46,0.387,3.081
1765042745,0.401,2.795,0.033,2.577,0.396,3.069
1765042746,-0.489,2.368,-0.093,2.561,0.389,3.084
1765042746,0.388,2.693,0.023,2.626,0.388,3.09
1765042747,0.397,2.677,0.126,2.673,0.388,3.09
1765042747,0.511,2.757,0.242,2.728,0.397,3.153
1765042748,0.491,2.692,0.333,2.754,0.409,3.202
1765042748,0.533,2.738,0.418,2.782,0.422,3.266
1765042748,0.508,2.81,0.479,2.82,0.438,3.342
1765042749,0.337,3.056,0.481,2.911,0.452,3.426
1765042749,0.121,3.116,0.422,3,0.474,3.54
1765042750,0.327,3.21,0.419,3.094,0.493,3.642
1765042750,0.332,3.32,0.415,3.197,0.512,3.746
1765042757,0.932,5.032,0.877,5.105,0.91,5.665
1765042757,1.019,5.212,0.93,5.202,0.938,5.794
1765042757,1.044,5.356,0.98,5.312,0.962,5.91
1765042758,1.056,5.479,1.022,5.427,0.975,5.977
1765042758,1.104,5.552,1.067,5.533,0.995,6.067
1765042758,1.138,5.644,1.111,5.636,1.021,6.19
1765042759,1.177,5.764,1.154,5.743,1.045,6.307
1765042759,1.335,5.929,1.228,5.867,1.067,6.422
1765042759,1.339,6.16,1.288,6.02,1.084,6.507
1765042760,1.225,6.096,1.305,6.123,1.091,6.543
1765042760,1.391,6.052,1.358,6.187,1.092,6.554
1765042761,1.278,6.067,1.369,6.233,1.103,6.546
1765042761,1.284,6.264,1.375,6.312,1.102,6.55
1765042761,1.253,6.328,1.368,6.385,1.101,6.555
1765042762,1.155,6.238,1.334,6.414,1.099,6.559
1765042762,1.296,6.245,1.338,6.431,1.095,6.559
1765042763,1.331,6.2,1.348,6.424,1.093,6.56
1765042763,1.31,6.222,1.349,6.417,1.093,6.562
1765042763,1.338,6.191,1.356,6.396,1.096,6.56
1765042764,1.284,6.331,1.347,6.408,1.115,6.567
1765042764,1.362,6.234,1.357,6.39,1.145,6.574
1765042765,1.369,6.282,1.367,6.383,1.185,6.587
1765042765,1.453,6.167,1.396,6.344,1.236,6.601
1765042765,1.316,6.903,1.385,6.497,1.302,6.615
1765042766,1.488,6.589,1.418,6.546,1.385,6.636
1765042766,1.705,6.283,1.501,6.505,1.486,6.659
1765042767,1.918,6.605,1.625,6.549,1.592,6.683
1765042767,1.974,6.709,1.743,6.611,1.694,6.708
1765042767,1.871,6.211,1.813,6.532,1.808,6.737
1765042773,3.452,6.352,3.486,6.348,3.336,7.106
1765042773,3.518,6.362,3.578,6.348,3.394,7.122
1765042774,3.568,6.437,3.657,6.367,3.446,7.134
1765042774,3.628,6.441,3.727,6.386,3.518,7.151
1765042775,3.706,6.485,3.796,6.413,3.56,7.161
1765042775,3.734,6.509,3.851,6.442,3.56,7.161
1765042776,3.799,6.511,3.904,6.466,3.666,7.186
1765042776,3.868,6.566,3.957,6.5,3.704,7.197
1765042777,3.927,6.56,4.008,6.527,3.764,7.211
1765042777,3.956,6.561,4.051,6.548,3.803,7.223
1765042778,3.975,6.582,4.084,6.569,3.839,7.233
1765042778,4.036,6.593,4.12,6.589,3.884,7.244
1765042778,4.065,6.593,4.15,6.603,3.924,7.252
1765042779,4.108,6.599,4.181,6.615,3.957,7.259
1765042779,4.157,6.591,4.214,6.621,4.005,7.269
1765042780,4.173,6.587,4.24,6.624,4.038,7.279
1765042780,4.173,6.605,4.257,6.629,4.033,7.277
1765042780,4.123,6.59,4.254,6.628,4.035,7.279
1765042781,4.167,6.734,4.257,6.663,4.036,7.278
1765042781,4.334,6.769,4.3,6.7,4.042,7.28
1765042781,4.201,6.666,4.298,6.704,4.046,7.279
1765042782,4.039,6.98,4.252,6.787,4.047,7.276
1765042782,4.122,6.712,4.23,6.786,4.05,7.276
1765042783,4.164,6.781,4.221,6.801,4.049,7.273
1765042783,4.256,6.852,4.236,6.829,4.046,7.274
1765042784,4.276,6.9,4.253,6.863,4.045,7.273
1765042784,4.374,6.837,4.291,6.874,4.05,7.259
1765042784,4.378,6.807,4.324,6.873,4.06,7.237
1765042785,4.387,6.756,4.353,6.856,4.067,7.218
1765042785,4.405,6.709,4.38,6.828,4.086,7.178
1765042785,4.393,6.618,4.398,6.779,4.106,7.127
1765042786,4.404,6.545,4.414,6.718,4.14,7.052
1765042786,4.408,6.496,4.427,6.653,4.171,6.971
